Product Name,Product Category,Number of Items Sold,Weekly Sales,Holiday,Temperature,Fuel Price,Day,Month,Year
Canon EOS 90D,Camera,45,566280,TRUE,30,106,22,7,2022
Epson Home Cinema 5050UB,Projector,20,654440,TRUE,32,105,22,7,2022
JBL Flip 5,Bluetooth Speaker,44,2297284,FALSE,33,89,22,7,2022
Fossil Gen 5E,Fitness Tracker,37,2937985,FALSE,29,101,22,7,2022
LG Velvet 2 Pro,Smartphone,22,1998788,TRUE,25,104,22,7,2022
LG G Pad 5,Tablet,7,131257,TRUE,30,111,22,7,2022
Nikon D850,Camera,38,567682,TRUE,23,95,22,7,2022
Philips OLED806,TV,37,1814517,TRUE,31,101,22,7,2022
Fitbit Sense,Smartwatch,49,1548841,TRUE,35,96,22,7,2022
LG Gram,Laptop,36,1883988,TRUE,34,95,22,7,2022
Fossil Gen 5,Smartwatch,43,2187625,FALSE,31,104,22,7,2022
Panasonic JZ2000,TV,45,1939950,TRUE,36,104,22,7,2022
OnePlus 9 Pro,Smartphone,28,1586032,TRUE,25,90,22,7,2022
August Wi-Fi Smart Lock,Smart Home Device,44,1673144,TRUE,28,97,22,7,2022
Nikon D850,Camera,38,567682,TRUE,24,97,22,7,2022
PlayStation 4,Gaming Console,17,998818,TRUE,33,113,22,7,2022
Huawei Watch GT 2 Pro,Smartwatch,14,560630,TRUE,27,107,22,7,2022
Nikon Z6 II,Camera,49,2957591,TRUE,31,106,22,7,2022
Canon PIXMA TR4520,Printer,39,1400334,TRUE,32,109,22,7,2022
UE Wonderboom 2,Bluetooth Speaker,26,1990352,TRUE,31,105,22,7,2022
RAVPower Portable Charger 20000mAh,Portable Charger,42,2515044,TRUE,32,87,22,7,2022
LG Nano90,TV,32,1877472,TRUE,24,97,22,7,2022
Sony SRS-XB43,Bluetooth Speaker,9,760050,TRUE,35,101,22,7,2022
Nest Learning Thermostat,Smart Home Device,29,1831611,TRUE,37,101,22,7,2022
Jackery Portable Power Station Explorer 240,Portable Charger,2,192604,TRUE,31,106,22,7,2022
Acer R240HY,Monitor,49,3764376,FALSE,31,104,22,7,2022
Amazon Echo Studio,Bluetooth Speaker,20,1393680,TRUE,25,88,22,7,2022
Apple Watch Series 7,Smartwatch,16,180688,TRUE,24,89,22,7,2022
Anker Soundcore Liberty Air 2 Pro,Wireless Earbuds,18,468126,FALSE,29,108,22,7,2022
AKG K371,Headphones,2,194900,TRUE,30,96,22,7,2022
